Name,TotalConfirmed,TotalDeaths,NewConfirmed,NewDeaths,survivors,Fatality_ratio,Region,Date
Holy See (Vatican City State),29,0,0,0,29,0.0,other,2022-07-13T18:08:21.459Z
Honduras,430672,10912,0,0,419760,2.53,other,2022-07-13T18:08:21.459Z
Hungary,1932788,46661,0,0,1886127,2.41,Western Europe,2022-07-13T18:08:21.459Z
Iceland,198721,179,0,0,198542,0.09,Western Europe,2022-07-13T18:08:21.459Z
India,43669850,525519,16906,45,43144331,1.2,other,2022-07-13T18:08:21.459Z
Indonesia,6116347,156806,0,0,5959541,2.56,other,2022-07-13T18:08:21.459Z
"Iran, Islamic Republic of",7255017,141451,0,0,7113566,1.95,other,2022-07-13T18:08:21.459Z
Iraq,2390684,25257,0,0,2365427,1.06,Middle East,2022-07-13T18:08:21.459Z
Ireland,1614631,7536,0,0,1607095,0.47,other,2022-07-13T18:08:21.459Z
Israel,4472115,11101,0,0,4461014,0.25,Middle East,2022-07-13T18:08:21.459Z
Italy,19667320,169390,144058,157,19497930,0.86,other,2022-07-13T18:08:21.459Z
Jamaica,144138,3158,0,0,140980,2.19,other,2022-07-13T18:08:21.459Z
Japan,9806971,31466,75978,23,9775505,0.32,other,2022-07-13T18:08:21.459Z
Jordan,1702661,14069,0,0,1688592,0.83,Middle East,2022-07-13T18:08:21.459Z
Kazakhstan,1399656,19018,0,0,1380638,1.36,other,2022-07-13T18:08:21.459Z
Kenya,336053,5668,0,0,330385,1.69,other,2022-07-13T18:08:21.459Z
Kiribati,3236,13,0,0,3223,0.4,other,2022-07-13T18:08:21.459Z
Korea (North),1,6,0,0,-5,600.0,other,2022-07-13T18:08:21.459Z
Korea (South),18602109,24680,0,0,18577429,0.13,other,2022-07-13T18:08:21.459Z
Kuwait,648216,2556,0,0,645660,0.39,Middle East,2022-07-13T18:08:21.459Z
Kyrgyzstan,201243,2991,0,0,198252,1.49,other,2022-07-13T18:08:21.459Z
Lao PDR,210386,757,0,0,209629,0.36,other,2022-07-13T18:08:21.459Z
Latvia,842127,5871,0,0,836256,0.7,Western Europe,2022-07-13T18:08:21.459Z
Lebanon,1126411,10479,0,0,1115932,0.93,Middle East,2022-07-13T18:08:21.459Z
Lesotho,34040,702,0,0,33338,2.06,other,2022-07-13T18:08:21.459Z
Liberia,7502,294,0,0,7208,3.92,other,2022-07-13T18:08:21.459Z
Libya,502289,6430,0,0,495859,1.28,Middle East,2022-07-13T18:08:21.459Z
Liechtenstein,18226,85,0,0,18141,0.47,other,2022-07-13T18:08:21.459Z
Lithuania,1166108,9181,0,0,1156927,0.79,Western Europe,2022-07-13T18:08:21.459Z
Luxembourg,272520,1100,0,0,271420,0.4,Western Europe,2022-07-13T18:08:21.459Z
"Macedonia, Republic of",316729,9337,0,0,307392,2.95,other,2022-07-13T18:08:21.459Z
Madagascar,66098,1403,0,0,64695,2.12,other,2022-07-13T18:08:21.459Z
Malawi,86799,2651,0,0,84148,3.05,other,2022-07-13T18:08:21.459Z
Malaysia,4600736,35819,2345,3,4564917,0.78,other,2022-07-13T18:08:21.459Z
Maldives,183491,307,0,0,183184,0.17,other,2022-07-13T18:08:21.459Z
Mali,31192,737,0,0,30455,2.36,other,2022-07-13T18:08:21.459Z
Malta,109493,763,0,0,108730,0.7,Western Europe,2022-07-13T18:08:21.459Z
Marshall Islands,47,0,0,0,47,0.0,other,2022-07-13T18:08:21.459Z
Mauritania,61403,986,0,0,60417,1.61,Middle East,2022-07-13T18:08:21.459Z
Mauritius,233082,1008,0,0,232074,0.43,other,2022-07-13T18:08:21.459Z
Mexico,6301645,326189,36334,92,5975456,5.18,other,2022-07-13T18:08:21.459Z
"Micronesia, Federated States of",38,0,0,0,38,0.0,other,2022-07-13T18:08:21.459Z
Moldova,521182,11570,0,0,509612,2.22,other,2022-07-13T18:08:21.459Z
Monaco,13576,60,0,0,13516,0.44,Western Europe,2022-07-13T18:08:21.459Z
Mongolia,929653,2119,0,0,927534,0.23,other,2022-07-13T18:08:21.459Z
Montenegro,244337,2730,0,0,241607,1.12,other,2022-07-13T18:08:21.459Z
Morocco,1242828,16160,0,0,1226668,1.3,Middle East,2022-07-13T18:08:21.459Z
Mozambique,228769,2214,0,0,226555,0.97,other,2022-07-13T18:08:21.459Z
Myanmar,613760,19434,0,0,594326,3.17,other,2022-07-13T18:08:21.459Z
Namibia,169253,4068,0,0,165185,2.4,other,2022-07-13T18:08:21.459Z
Nepal,980590,11952,0,0,968638,1.22,other,2022-07-13T18:08:21.459Z
Netherlands,8253750,22409,7361,3,8231341,0.27,other,2022-07-13T18:08:21.459Z
New Zealand,1468071,1675,0,0,1466396,0.11,other,2022-07-13T18:08:21.459Z
Nicaragua,14721,243,0,0,14478,1.65,other,2022-07-13T18:08:21.459Z
Niger,9096,311,0,0,8785,3.42,other,2022-07-13T18:08:21.459Z
Nigeria,258874,3144,0,0,255730,1.21,other,2022-07-13T18:08:21.459Z
Norway,1451515,3415,0,0,1448100,0.24,Western Europe,2022-07-13T18:08:21.459Z
Oman,391641,4628,0,0,387013,1.18,other,2022-07-13T18:08:21.459Z
Pakistan,1543741,30424,236,0,1513317,1.97,other,2022-07-13T18:08:21.459Z
Palau,5308,6,0,0,5302,0.11,other,2022-07-13T18:08:21.459Z
Palestinian Territory,662588,5662,0,0,656926,0.85,other,2022-07-13T18:08:21.459Z
Panama,938791,8384,0,0,930407,0.89,other,2022-07-13T18:08:21.459Z
Papua New Guinea,44752,662,0,0,44090,1.48,other,2022-07-13T18:08:21.459Z
Paraguay,673829,19036,0,0,654793,2.83,other,2022-07-13T18:08:21.459Z
Peru,3691213,213714,8000,19,3477499,5.79,other,2022-07-13T18:08:21.459Z
Philippines,3721413,60640,0,0,3660773,1.63,other,2022-07-13T18:08:21.459Z
Poland,6024488,116458,0,0,5908030,1.93,Western Europe,2022-07-13T18:08:21.459Z
Portugal,5266454,24359,0,0,5242095,0.46,Western Europe,2022-07-13T18:08:21.459Z
Qatar,390055,680,0,0,389375,0.17,other,2022-07-13T18:08:21.459Z
Republic of Kosovo,232027,3145,0,0,228882,1.36,other,2022-07-13T18:08:21.459Z
Romania,2946174,65797,0,0,2880377,2.23,Western Europe,2022-07-13T18:08:21.459Z
Russian Federation,18198890,373942,2966,46,17824948,2.05,other,2022-07-13T18:08:21.459Z
Rwanda,131734,1462,0,0,130272,1.11,other,2022-07-13T18:08:21.459Z
Saint Kitts and Nevis,6332,45,0,0,6287,0.71,other,2022-07-13T18:08:21.459Z
Saint Lucia,27337,385,0,0,26952,1.41,other,2022-07-13T18:08:21.459Z
Saint Vincent and Grenadines,9127,114,0,0,9013,1.25,other,2022-07-13T18:08:21.459Z
Samoa,15134,29,0,0,15105,0.19,other,2022-07-13T18:08:21.459Z
San Marino,18886,116,0,0,18770,0.61,other,2022-07-13T18:08:21.459Z
Sao Tome and Principe,6079,74,0,0,6005,1.22,other,2022-07-13T18:08:21.459Z
Saudi Arabia,800869,9223,0,0,791646,1.15,other,2022-07-13T18:08:21.459Z
Senegal,86526,1968,0,0,84558,2.27,other,2022-07-13T18:08:21.459Z
Serbia,2045101,16155,0,0,2028946,0.79,other,2022-07-13T18:08:21.459Z
Seychelles,45076,167,0,0,44909,0.37,other,2022-07-13T18:08:21.459Z
Sierra Leone,7718,125,0,0,7593,1.62,other,2022-07-13T18:08:21.459Z
Singapore,1540778,1437,0,0,1539341,0.09,other,2022-07-13T18:08:21.459Z
Slovakia,2559088,20163,0,0,2538925,0.79,Western Europe,2022-07-13T18:08:21.459Z
Slovenia,1052574,6661,0,0,1045913,0.63,Western Europe,2022-07-13T18:08:21.459Z
Solomon Islands,21544,153,0,0,21391,0.71,other,2022-07-13T18:08:21.459Z
Somalia,26900,1361,0,0,25539,5.06,other,2022-07-13T18:08:21.459Z
South Africa,3997975,101880,0,0,3896095,2.55,other,2022-07-13T18:08:21.459Z
South Sudan,17733,138,0,0,17595,0.78,other,2022-07-13T18:08:21.459Z
Spain,13032841,108974,59226,244,12923867,0.84,Western Europe,2022-07-13T18:08:21.459Z
Sri Lanka,664315,16526,0,0,647789,2.49,other,2022-07-13T18:08:21.459Z
Sudan,62795,4955,0,0,57840,7.89,Middle East,2022-07-13T18:08:21.459Z
Suriname,80919,1377,0,0,79542,1.7,other,2022-07-13T18:08:21.459Z
Swaziland,73227,1417,0,0,71810,1.94,other,2022-07-13T18:08:21.459Z
Sweden,2523404,19144,0,0,2504260,0.76,Western Europe,2022-07-13T18:08:21.459Z
Switzerland,3861756,13848,0,0,3847908,0.36,Western Europe,2022-07-13T18:08:21.459Z
Syrian Arab Republic (Syria),55957,3150,0,0,52807,5.63,other,2022-07-13T18:08:21.459Z
"Taiwan, Republic of China",4132429,7780,0,0,4124649,0.19,other,2022-07-13T18:08:21.459Z
Tajikistan,17786,125,0,0,17661,0.7,other,2022-07-13T18:08:21.459Z
"Tanzania, United Republic of",36174,841,0,0,35333,2.32,other,2022-07-13T18:08:21.459Z
Thailand,4550924,30907,0,0,4520017,0.68,other,2022-07-13T18:08:21.459Z
Timor-Leste,22972,133,0,0,22839,0.58,other,2022-07-13T18:08:21.459Z
Togo,37636,275,0,0,37361,0.73,other,2022-07-13T18:08:21.459Z
Tonga,12382,12,0,0,12370,0.1,other,2022-07-13T18:08:21.459Z
Trinidad and Tobago,168427,4031,0,0,164396,2.39,other,2022-07-13T18:08:21.459Z
Tunisia,1087030,28823,0,0,1058207,2.65,Middle East,2022-07-13T18:08:21.459Z
Turkey,15180444,99057,0,0,15081387,0.65,Middle East,2022-07-13T18:08:21.459Z
Uganda,168440,3627,0,0,164813,2.15,other,2022-07-13T18:08:21.459Z
Ukraine,5326999,117167,0,0,5209832,2.2,other,2022-07-13T18:08:21.459Z
United Arab Emirates,966075,2324,0,0,963751,0.24,Middle East,2022-07-13T18:08:21.459Z
United Kingdom,23088446,181398,372,0,22907048,0.79,other,2022-07-13T18:08:21.459Z
United States of America,88946276,1021838,191455,532,87924438,1.15,other,2022-07-13T18:08:21.459Z
Uruguay,965370,7373,0,0,957997,0.76,other,2022-07-13T18:08:21.459Z
Uzbekistan,241814,1637,0,0,240177,0.68,other,2022-07-13T18:08:21.459Z
Vanuatu,11690,14,0,0,11676,0.12,other,2022-07-13T18:08:21.459Z
Venezuela (Bolivarian Republic),528566,5741,0,0,522825,1.09,other,2022-07-13T18:08:21.459Z
Viet Nam,10756254,43090,0,0,10713164,0.4,other,2022-07-13T18:08:21.459Z
Yemen,11832,2149,0,0,9683,18.16,other,2022-07-13T18:08:21.459Z
Zambia,327102,4008,0,0,323094,1.23,other,2022-07-13T18:08:21.459Z
Zimbabwe,255981,5565,0,0,250416,2.17,other,2022-07-13T18:08:21.459Z
