Name,TotalConfirmed,TotalDeaths,NewConfirmed,NewDeaths,survivors,Fatality_ratio,Region,Date
Holy See (Vatican City State),29,0,0,0,29,0.0,other,2022-07-14T09:19:45.566Z
Honduras,430672,10912,0,0,419760,2.53,other,2022-07-14T09:19:45.566Z
Hungary,1940824,46696,0,0,1894128,2.41,Western Europe,2022-07-14T09:19:45.566Z
Iceland,198721,179,0,0,198542,0.09,Western Europe,2022-07-14T09:19:45.566Z
India,43689989,525557,20139,38,43164432,1.2,other,2022-07-14T09:19:45.566Z
Indonesia,6120169,156818,0,0,5963351,2.56,other,2022-07-14T09:19:45.566Z
"Iran, Islamic Republic of",7260017,141456,0,0,7118561,1.95,other,2022-07-14T09:19:45.566Z
Iraq,2393726,25259,0,0,2368467,1.06,Middle East,2022-07-14T09:19:45.566Z
Ireland,1628745,7571,0,0,1621174,0.46,other,2022-07-14T09:19:45.566Z
Israel,4482086,11101,0,0,4470985,0.25,Middle East,2022-07-14T09:19:45.566Z
Italy,19778911,169496,111591,106,19609415,0.86,other,2022-07-14T09:19:45.566Z
Jamaica,144213,3161,0,0,141052,2.19,other,2022-07-14T09:19:45.566Z
Japan,9901424,31497,94453,31,9869927,0.32,other,2022-07-14T09:19:45.566Z
Jordan,1702661,14069,0,0,1688592,0.83,Middle East,2022-07-14T09:19:45.566Z
Kazakhstan,1400476,19019,0,0,1381457,1.36,other,2022-07-14T09:19:45.566Z
Kenya,336292,5668,0,0,330624,1.69,other,2022-07-14T09:19:45.566Z
Kiribati,3236,13,0,0,3223,0.4,other,2022-07-14T09:19:45.566Z
Korea (North),1,6,0,0,-5,600.0,other,2022-07-14T09:19:45.566Z
Korea (South),18641278,24696,0,0,18616582,0.13,other,2022-07-14T09:19:45.566Z
Kuwait,648216,2556,0,0,645660,0.39,Middle East,2022-07-14T09:19:45.566Z
Kyrgyzstan,201282,2991,0,0,198291,1.49,other,2022-07-14T09:19:45.566Z
Lao PDR,210401,757,0,0,209644,0.36,other,2022-07-14T09:19:45.566Z
Latvia,843035,5871,0,0,837164,0.7,Western Europe,2022-07-14T09:19:45.566Z
Lebanon,1126411,10479,0,0,1115932,0.93,Middle East,2022-07-14T09:19:45.566Z
Lesotho,34040,702,0,0,33338,2.06,other,2022-07-14T09:19:45.566Z
Liberia,7502,294,0,0,7208,3.92,other,2022-07-14T09:19:45.566Z
Libya,502289,6430,0,0,495859,1.28,Middle East,2022-07-14T09:19:45.566Z
Liechtenstein,18257,85,0,0,18172,0.47,other,2022-07-14T09:19:45.566Z
Lithuania,1166944,9185,0,0,1157759,0.79,Western Europe,2022-07-14T09:19:45.566Z
Luxembourg,273401,1100,0,0,272301,0.4,Western Europe,2022-07-14T09:19:45.566Z
"Macedonia, Republic of",317140,9337,0,0,307803,2.94,other,2022-07-14T09:19:45.566Z
Madagascar,66098,1403,0,0,64695,2.12,other,2022-07-14T09:19:45.566Z
Malawi,86823,2651,0,0,84172,3.05,other,2022-07-14T09:19:45.566Z
Malaysia,4604670,35828,3934,9,4568842,0.78,other,2022-07-14T09:19:45.566Z
Maldives,183491,307,0,0,183184,0.17,other,2022-07-14T09:19:45.566Z
Mali,31195,737,0,0,30458,2.36,other,2022-07-14T09:19:45.566Z
Malta,109911,766,0,0,109145,0.7,Western Europe,2022-07-14T09:19:45.566Z
Marshall Islands,47,0,0,0,47,0.0,other,2022-07-14T09:19:45.566Z
Mauritania,61543,986,0,0,60557,1.6,Middle East,2022-07-14T09:19:45.566Z
Mauritius,233082,1008,0,0,232074,0.43,other,2022-07-14T09:19:45.566Z
Mexico,6338991,326261,37346,72,6012730,5.15,other,2022-07-14T09:19:45.566Z
"Micronesia, Federated States of",38,0,0,0,38,0.0,other,2022-07-14T09:19:45.566Z
Moldova,523034,11584,0,0,511450,2.21,other,2022-07-14T09:19:45.566Z
Monaco,13645,60,0,0,13585,0.44,Western Europe,2022-07-14T09:19:45.566Z
Mongolia,930327,2119,0,0,928208,0.23,other,2022-07-14T09:19:45.566Z
Montenegro,244903,2730,0,0,242173,1.11,other,2022-07-14T09:19:45.566Z
Morocco,1244892,16165,0,0,1228727,1.3,Middle East,2022-07-14T09:19:45.566Z
Mozambique,228840,2214,0,0,226626,0.97,other,2022-07-14T09:19:45.566Z
Myanmar,613773,19434,0,0,594339,3.17,other,2022-07-14T09:19:45.566Z
Namibia,169253,4068,0,0,165185,2.4,other,2022-07-14T09:19:45.566Z
Nepal,980767,11952,0,0,968815,1.22,other,2022-07-14T09:19:45.566Z
Netherlands,8260556,22413,6806,4,8238143,0.27,other,2022-07-14T09:19:45.566Z
New Zealand,1479769,1698,0,0,1478071,0.11,other,2022-07-14T09:19:45.566Z
Nicaragua,14751,244,0,0,14507,1.65,other,2022-07-14T09:19:45.566Z
Niger,9096,311,0,0,8785,3.42,other,2022-07-14T09:19:45.566Z
Nigeria,258874,3144,0,0,255730,1.21,other,2022-07-14T09:19:45.566Z
Norway,1451854,3504,0,0,1448350,0.24,Western Europe,2022-07-14T09:19:45.566Z
Oman,391641,4628,0,0,387013,1.18,other,2022-07-14T09:19:45.566Z
Pakistan,1544131,30426,390,2,1513705,1.97,other,2022-07-14T09:19:45.566Z
Palau,5308,6,0,0,5302,0.11,other,2022-07-14T09:19:45.566Z
Palestinian Territory,662588,5662,0,0,656926,0.85,other,2022-07-14T09:19:45.566Z
Panama,938791,8384,0,0,930407,0.89,other,2022-07-14T09:19:45.566Z
Papua New Guinea,44752,662,0,0,44090,1.48,other,2022-07-14T09:19:45.566Z
Paraguay,673829,19036,0,0,654793,2.83,other,2022-07-14T09:19:45.566Z
Peru,3703751,213731,12538,17,3490020,5.77,other,2022-07-14T09:19:45.566Z
Philippines,3723014,60640,0,0,3662374,1.63,other,2022-07-14T09:19:45.566Z
Poland,6026134,116464,0,0,5909670,1.93,Western Europe,2022-07-14T09:19:45.566Z
Portugal,5273845,24369,0,0,5249476,0.46,Western Europe,2022-07-14T09:19:45.566Z
Qatar,390918,680,0,0,390238,0.17,other,2022-07-14T09:19:45.566Z
Republic of Kosovo,232790,3146,0,0,229644,1.35,other,2022-07-14T09:19:45.566Z
Romania,2949951,65801,0,0,2884150,2.23,Western Europe,2022-07-14T09:19:45.566Z
Russian Federation,18202785,373983,3895,41,17828802,2.05,other,2022-07-14T09:19:45.566Z
Rwanda,131766,1462,0,0,130304,1.11,other,2022-07-14T09:19:45.566Z
Saint Kitts and Nevis,6332,45,0,0,6287,0.71,other,2022-07-14T09:19:45.566Z
Saint Lucia,27408,385,0,0,27023,1.4,other,2022-07-14T09:19:45.566Z
Saint Vincent and Grenadines,9162,114,0,0,9048,1.24,other,2022-07-14T09:19:45.566Z
Samoa,15134,29,0,0,15105,0.19,other,2022-07-14T09:19:45.566Z
San Marino,18977,116,0,0,18861,0.61,other,2022-07-14T09:19:45.566Z
Sao Tome and Principe,6079,74,0,0,6005,1.22,other,2022-07-14T09:19:45.566Z
Saudi Arabia,801349,9225,0,0,792124,1.15,other,2022-07-14T09:19:45.566Z
Senegal,86594,1968,0,0,84626,2.27,other,2022-07-14T09:19:45.566Z
Serbia,2047170,16158,0,0,2031012,0.79,other,2022-07-14T09:19:45.566Z
Seychelles,45076,167,0,0,44909,0.37,other,2022-07-14T09:19:45.566Z
Sierra Leone,7718,125,0,0,7593,1.62,other,2022-07-14T09:19:45.566Z
Singapore,1557648,1440,0,0,1556208,0.09,other,2022-07-14T09:19:45.566Z
Slovakia,2560261,20166,0,0,2540095,0.79,Western Europe,2022-07-14T09:19:45.566Z
Slovenia,1054441,6662,0,0,1047779,0.63,Western Europe,2022-07-14T09:19:45.566Z
Solomon Islands,21544,153,0,0,21391,0.71,other,2022-07-14T09:19:45.566Z
Somalia,26900,1361,0,0,25539,5.06,other,2022-07-14T09:19:45.566Z
South Africa,3998466,101895,0,0,3896571,2.55,other,2022-07-14T09:19:45.566Z
South Sudan,17733,138,0,0,17595,0.78,other,2022-07-14T09:19:45.566Z
Spain,13032841,108974,0,0,12923867,0.84,Western Europe,2022-07-14T09:19:45.566Z
Sri Lanka,664345,16526,0,0,647819,2.49,other,2022-07-14T09:19:45.566Z
Sudan,62795,4955,0,0,57840,7.89,Middle East,2022-07-14T09:19:45.566Z
Suriname,80919,1377,0,0,79542,1.7,other,2022-07-14T09:19:45.566Z
Swaziland,73229,1417,0,0,71812,1.94,other,2022-07-14T09:19:45.566Z
Sweden,2523404,19144,0,0,2504260,0.76,Western Europe,2022-07-14T09:19:45.566Z
Switzerland,3861756,13857,0,0,3847899,0.36,Western Europe,2022-07-14T09:19:45.566Z
Syrian Arab Republic (Syria),55960,3150,0,0,52810,5.63,other,2022-07-14T09:19:45.566Z
"Taiwan, Republic of China",4162290,7829,0,0,4154461,0.19,other,2022-07-14T09:19:45.566Z
Tajikistan,17786,125,0,0,17661,0.7,other,2022-07-14T09:19:45.566Z
"Tanzania, United Republic of",36174,841,0,0,35333,2.32,other,2022-07-14T09:19:45.566Z
Thailand,4553181,30935,0,0,4522246,0.68,other,2022-07-14T09:19:45.566Z
Timor-Leste,22974,133,0,0,22841,0.58,other,2022-07-14T09:19:45.566Z
Togo,37671,275,0,0,37396,0.73,other,2022-07-14T09:19:45.566Z
Tonga,12382,12,0,0,12370,0.1,other,2022-07-14T09:19:45.566Z
Trinidad and Tobago,168617,4033,0,0,164584,2.39,other,2022-07-14T09:19:45.566Z
Tunisia,1087030,28823,0,0,1058207,2.65,Middle East,2022-07-14T09:19:45.566Z
Turkey,15297539,99088,0,0,15198451,0.65,Middle East,2022-07-14T09:19:45.566Z
Uganda,168497,3627,0,0,164870,2.15,other,2022-07-14T09:19:45.566Z
Ukraine,5288579,116399,34,1,5172180,2.2,other,2022-07-14T09:19:45.566Z
United Arab Emirates,967597,2325,0,0,965272,0.24,Middle East,2022-07-14T09:19:45.566Z
United Kingdom,23280870,182262,192424,864,23098608,0.78,other,2022-07-14T09:19:45.566Z
United States of America,89221950,1023619,275674,1781,88198331,1.15,other,2022-07-14T09:19:45.566Z
Uruguay,965370,7373,0,0,957997,0.76,other,2022-07-14T09:19:45.566Z
Uzbekistan,241882,1637,0,0,240245,0.68,other,2022-07-14T09:19:45.566Z
Vanuatu,11697,14,0,0,11683,0.12,other,2022-07-14T09:19:45.566Z
Venezuela (Bolivarian Republic),528785,5742,0,0,523043,1.09,other,2022-07-14T09:19:45.566Z
Viet Nam,10757257,43090,0,0,10714167,0.4,other,2022-07-14T09:19:45.566Z
Yemen,11832,2149,0,0,9683,18.16,other,2022-07-14T09:19:45.566Z
Zambia,327102,4008,0,0,323094,1.23,other,2022-07-14T09:19:45.566Z
Zimbabwe,255981,5565,0,0,250416,2.17,other,2022-07-14T09:19:45.566Z
